harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat
Does not apply (i do not have a job/superior/co-worker),NA,NA,9,Moderate,NA,NA,NA,Retired
No,NA,NA,12,Moderate,NA,No,No,Working fulltime
No,NA,NA,16,Conservative,NA,No,No,Retired
NA,0,1,12,Conservative,Agree,NA,NA,Retired
NA,NA,NA,12,Slightly liberal,Agree,NA,NA,Retired
No,NA,NA,16,Extrmly conservative,NA,No,No,Other
No,NA,NA,12,Conservative,NA,NA,NA,Retired
NA,0,3,12,Conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Conservative,NA,No,No,Working fulltime
NA,0,30,17,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,Conservative,NA,NA,NA,Keeping house
NA,30,1,16,Moderate,Agree,NA,NA,Retired
No,NA,NA,16,Extrmly conservative,NA,Yes,Yes,Working fulltime
NA,0,20,16,Conservative,Strongly agree,Yes,Yes,Working fulltime
NA,0,15,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime
Yes,NA,NA,18,Moderate,NA,No,No,"Unempl, laid off"
No,0,3,18,Conservative,NA,No,No,Working fulltime
Yes,NA,NA,19,Slightly liberal,NA,No,No,Working fulltime
NA,0,20,18,Liberal,Agree,No,Yes,Working fulltime
No,NA,NA,14,Liberal,NA,No,No,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Temp not working
NA,0,0,19,Moderate,Agree,NA,NA,Retired
No,NA,NA,20,Liberal,NA,NA,NA,Retired
No,0,20,16,Slightly liberal,NA,No,No,Working fulltime
NA,NA,NA,10,Moderate,Agree,NA,NA,Retired
No,0,10,12,Moderate,NA,Yes,Yes,Working parttime
NA,30,0,12,Liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,13,Moderate,NA,No,No,Working parttime
No,30,0,12,Liberal,NA,Yes,Yes,Other
NA,0,20,16,Moderate,Agree,NA,NA,Working fulltime
NA,0,1,14,Moderate,Agree,No,No,Working fulltime
NA,0,6,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime
NA,NA,NA,NA,NA,NA,NA,NA,NA
No,0,4,12,Slghtly conservative,NA,No,No,Retired
No,NA,NA,16,Slghtly conservative,NA,No,No,Working fulltime
No,NA,NA,17,Slghtly conservative,NA,Yes,No,Working fulltime
Yes,15,0,12,Slghtly conservative,NA,NA,NA,Retired
Yes,NA,NA,10,Moderate,NA,No,No,Keeping house
NA,0,4,NA,Slghtly conservative,Disagree,No,Yes,NA
Yes,0,1,15,Conservative,NA,No,Yes,Working fulltime
No,NA,NA,16,Liberal,NA,No,No,Working fulltime
NA,0,0,12,Conservative,Strongly agree,NA,NA,Working fulltime
NA,0,0,15,Moderate,Strongly agree,NA,NA,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,14,Extrmly conservative,NA,NA,NA,Retired
No,NA,NA,12,NA,NA,NA,NA,"Unempl, laid off"
NA,30,0,12,Moderate,Agree,NA,NA,Other
No,NA,NA,9,NA,NA,Yes,Yes,Keeping house
NA,0,10,16,Conservative,Strongly agree,NA,NA,Working fulltime
No,0,2,9,Liberal,NA,No,No,Working fulltime
NA,0,2,13,Moderate,Strongly agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,8,Conservative,NA,NA,NA,Keeping house
NA,30,0,12,Moderate,Agree,NA,NA,Retired
NA,NA,NA,10,NA,Agree,NA,NA,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,NA,NA,Retired
No,0,1,17,Extremely liberal,NA,No,No,Retired
NA,20,0,15,Liberal,Agree,NA,NA,"Unempl, laid off"
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime
Yes,15,0,12,Moderate,NA,Yes,Yes,Working fulltime
NA,0,1,17,Extremely liberal,Agree,NA,NA,Working fulltime
No,NA,NA,14,Slightly liberal,NA,No,No,School
NA,0,12,13,Conservative,Agree,Yes,Yes,School
NA,0,2,16,Moderate,Agree,NA,NA,"Unempl, laid off"
Yes,NA,NA,16,Moderate,NA,Yes,Yes,Working fulltime
No,0,2,13,Slightly liberal,NA,Yes,No,Working parttime
Yes,NA,NA,17,Slghtly conservative,NA,Yes,Yes,Working parttime
NA,0,7,16,Extremely liberal,Strongly agree,No,No,Working fulltime
NA,10,0,13,Extremely liberal,Disagree,NA,NA,Working parttime
No,NA,NA,14,Moderate,NA,Yes,Yes,School
Yes,0,5,17,Moderate,NA,Yes,Yes,School
NA,0,1,14,Moderate,Agree,NA,NA,Working parttime
No,NA,NA,16,Moderate,NA,Yes,Yes,Working fulltime
NA,20,0,13,Liberal,Strongly agree,No,Yes,Working parttime
No,15,0,16,Slightly liberal,NA,No,No,Working fulltime
NA,NA,NA,12,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,0,7,Liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Conservative,NA,NA,NA,Working fulltime
NA,0,4,14,Moderate,Agree,NA,NA,Keeping house
No,NA,NA,18,Slghtly conservative,NA,NA,NA,Keeping house
NA,0,20,20,Conservative,Disagree,NA,NA,Temp not working
No,NA,NA,13,Extremely liberal,NA,No,No,Retired
NA,0,30,15,Moderate,Agree,No,No,Retired
NA,0,2,13,Slightly liberal,Agree,NA,NA,Working parttime
Yes,NA,NA,13,Conservative,NA,No,Yes,Working parttime
NA,30,0,12,Slghtly conservative,Agree,No,No,Working parttime
NA,0,0,11,Liberal,Agree,NA,NA,Keeping house
NA,0,1,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,15,Moderate,NA,Yes,Yes,Working parttime
NA,0,40,14,Moderate,Disagree,NA,NA,Working fulltime
No,NA,NA,12,Liberal,NA,Yes,Yes,Keeping house
NA,0,16,14,Liberal,Disagree,NA,NA,Working fulltime
No,NA,NA,15,Slightly liberal,NA,No,No,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Slghtly conservative,NA,No,No,Retired
NA,0,3,12,Liberal,Agree,Yes,Yes,Working fulltime
No,NA,NA,6,Liberal,NA,No,No,Working fulltime
NA,0,0,8,Slghtly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,Extremely liberal,NA,No,No,Retired
No,0,10,12,Liberal,NA,No,No,Retired
NA,NA,NA,9,Moderate,Strongly agree,NA,NA,Retired
NA,NA,NA,12,Conservative,Disagree,NA,NA,Retired
NA,0,15,13,Slightly liberal,Strongly agree,NA,NA,Working fulltime
NA,0,1,14,Slghtly conservative,Agree,NA,NA,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Conservative,NA,NA,NA,Retired
NA,0,1,11,Moderate,Agree,NA,NA,Retired
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),50,0,12,Slghtly conservative,NA,NA,NA,Retired
No,0,40,19,Slightly liberal,NA,No,Yes,Working fulltime
No,NA,NA,14,Liberal,NA,No,No,Retired
NA,0,0,8,Moderate,Agree,No,No,Retired
No,NA,NA,12,Moderate,NA,No,Yes,Working fulltime
No,0,20,15,Moderate,NA,Yes,Yes,Working fulltime
NA,0,5,12,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,0,4,16,Conservative,Agree,NA,NA,Retired
NA,0,15,15,Liberal,Agree,NA,NA,Working parttime
No,0,10,20,Conservative,NA,NA,NA,Working fulltime
NA,0,3,13,Slghtly conservative,Disagree,No,No,Working fulltime
NA,0,2,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,18,Liberal,NA,No,Yes,Working fulltime
NA,NA,NA,9,Extrmly conservative,Disagree,NA,NA,Working fulltime
No,NA,NA,1,Slightly liberal,NA,No,No,Working fulltime
NA,25,0,13,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
Yes,NA,NA,18,Moderate,NA,No,No,Retired
Yes,0,3,16,Conservative,NA,No,No,Working fulltime
NA,0,5,18,Slghtly conservative,Agree,No,No,Working fulltime
No,NA,NA,17,Liberal,NA,No,No,Retired
No,NA,NA,16,Slightly liberal,NA,No,No,Temp not working
NA,0,5,16,Slghtly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,18,Moderate,NA,No,No,Working fulltime
NA,0,2,13,Extrmly conservative,Agree,NA,NA,Retired
NA,0,10,12,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,14,Slghtly conservative,NA,Yes,Yes,Working parttime
NA,0,0,16,Liberal,Strongly agree,NA,NA,Keeping house
Does not apply (i do not have a job/superior/co-worker),NA,NA,17,Slghtly conservative,NA,No,No,Retired
No,NA,NA,12,Slghtly conservative,NA,No,No,"Unempl, laid off"
No,NA,NA,12,Conservative,NA,NA,NA,Working fulltime
NA,0,8,16,Liberal,Strongly agree,No,No,Keeping house
Yes,NA,NA,14,Slghtly conservative,NA,No,No,Working fulltime
Yes,NA,NA,13,Slightly liberal,NA,NA,NA,Working fulltime
NA,0,20,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,2,17,Liberal,Strongly agree,No,No,Keeping house
NA,0,15,12,Moderate,Strongly agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Extremely liberal,NA,Yes,Yes,Other
No,0,2,12,Moderate,NA,No,No,Working fulltime
NA,0,5,16,Slightly liberal,Strongly agree,Yes,Yes,Working fulltime
NA,20,0,13,Moderate,Agree,NA,NA,Working fulltime
No,2,0,15,Liberal,NA,Yes,No,Working fulltime
No,NA,NA,13,Liberal,NA,Yes,Yes,Working parttime
NA,0,0,11,Moderate,Agree,No,No,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,No,No,Working fulltime
No,NA,NA,14,Conservative,NA,NA,NA,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,11,Extrmly conservative,NA,NA,NA,Retired
No,NA,NA,18,Conservative,NA,No,No,Working fulltime
NA,0,1,14,Liberal,Strongly agree,Yes,Yes,Working fulltime
NA,0,1,14,Slghtly conservative,Agree,NA,NA,Working parttime
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,2,20,Conservative,Agree,NA,NA,Retired
NA,0,3,16,Slghtly conservative,Strongly agree,No,Yes,Keeping house
NA,0,3,14,Conservative,Disagree,NA,NA,Retired
No,NA,NA,13,Moderate,NA,No,Yes,Retired
NA,NA,NA,12,Moderate,Agree,NA,NA,Working parttime
NA,0,10,12,Extrmly conservative,Disagree,NA,NA,Keeping house
No,NA,NA,15,Moderate,NA,No,Yes,Working fulltime
NA,0,2,12,Moderate,Agree,Yes,Yes,Keeping house
No,0,8,13,Conservative,NA,No,No,Working fulltime
NA,0,6,16,Conservative,Strongly agree,NA,NA,Working fulltime
NA,0,5,14,Conservative,Agree,No,No,Working fulltime
NA,0,0,9,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,11,Extrmly conservative,NA,No,No,Working parttime
NA,48,0,12,Slightly liberal,Agree,No,No,Working parttime
Yes,NA,NA,20,Moderate,NA,No,No,Working fulltime
No,0,7,11,Slghtly conservative,NA,No,Yes,Working fulltime
NA,NA,NA,12,Moderate,NA,NA,NA,Keeping house
No,NA,NA,12,Conservative,NA,No,No,Working fulltime
No,NA,NA,19,Slghtly conservative,NA,No,No,Working fulltime
No,0,50,16,Slightly liberal,NA,Yes,Yes,Working fulltime
NA,0,50,14,Conservative,Agree,NA,NA,Other
NA,0,25,14,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,13,Conservative,NA,No,No,Working fulltime
No,0,30,16,Slightly liberal,NA,No,No,Working fulltime
NA,0,3,15,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,Slightly liberal,NA,No,No,Working fulltime
NA,0,0,6,Slghtly conservative,Strongly agree,NA,NA,Keeping house
NA,0,2,17,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,14,Slightly liberal,NA,No,No,Working fulltime
NA,0,30,18,Moderate,Strongly agree,Yes,Yes,Working fulltime
No,NA,NA,16,Moderate,NA,Yes,Yes,Working fulltime
NA,0,25,17,Conservative,Strongly agree,NA,NA,Working fulltime
No,0,8,17,Conservative,NA,Yes,No,Working fulltime
NA,0,1,17,Extremely liberal,Strongly agree,NA,NA,Working parttime
Yes,NA,NA,12,Conservative,NA,No,No,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,No,No,Retired
No,NA,NA,12,Moderate,NA,Yes,Yes,Working parttime
NA,15,0,12,NA,Agree,No,No,Retired
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,16,Moderate,NA,NA,NA,Retired
No,10,0,16,Slghtly conservative,NA,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,Yes,Yes,Working fulltime
No,NA,NA,16,Liberal,NA,NA,NA,Retired
No,0,3,12,NA,NA,Yes,Yes,School
NA,0,0,14,Conservative,Agree,NA,NA,Working parttime
No,NA,NA,15,Slghtly conservative,NA,Yes,Yes,School
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,NA,NA,Retired
NA,10,0,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,0,NA,NA,NA,NA,Keeping house
NA,0,1,13,Moderate,Disagree,No,No,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Extrmly conservative,NA,NA,NA,Other
NA,0,6,16,Conservative,Strongly agree,NA,NA,Working fulltime
NA,0,2,14,Moderate,Agree,No,No,Retired
NA,NA,NA,8,Conservative,Agree,NA,NA,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,NA,NA,No,No,Retired
No,0,6,16,Moderate,NA,No,No,"Unempl, laid off"
NA,0,0,16,Liberal,Strongly agree,No,No,Other
NA,NA,NA,12,Slightly liberal,Agree,NA,NA,Retired
No,NA,NA,20,Conservative,NA,No,No,Working fulltime
NA,0,20,18,Liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,14,Conservative,NA,NA,NA,Retired
NA,0,2,20,Liberal,Strongly agree,Yes,Yes,Working fulltime
Yes,0,0,18,Conservative,NA,NA,NA,Retired
NA,0,1,12,Liberal,Agree,No,No,Temp not working
NA,0,5,18,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,19,Extremely liberal,NA,No,No,Working fulltime
NA,0,2,16,Slghtly conservative,Agree,No,No,Working fulltime
NA,0,3,14,Conservative,Disagree,NA,NA,Retired
Yes,NA,NA,13,Extrmly conservative,NA,NA,NA,"Unempl, laid off"
No,0,5,11,Moderate,NA,No,Yes,Working fulltime
No,NA,NA,13,Slghtly conservative,NA,NA,NA,Working parttime
No,0,4,12,Moderate,NA,No,Yes,Keeping house
NA,0,1,15,Conservative,Agree,NA,NA,School
NA,0,1,8,Conservative,Agree,No,No,Working parttime
NA,0,2,18,Extremely liberal,Agree,NA,NA,Retired
No,NA,NA,11,Liberal,NA,No,Yes,Working parttime
NA,0,2,12,Moderate,Strongly agree,No,Yes,Working parttime
Yes,NA,NA,16,Liberal,NA,No,No,Working fulltime
No,0,0,12,Liberal,NA,NA,NA,Retired
NA,0,7,17,NA,Agree,No,Yes,Keeping house
No,0,40,16,Extremely liberal,NA,No,No,Working fulltime
NA,30,0,14,Liberal,Strongly agree,NA,NA,Working fulltime
Yes,NA,NA,14,Liberal,NA,No,No,Working fulltime
NA,10,0,12,Slghtly conservative,Agree,NA,NA,Working fulltime
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,12,Moderate,NA,No,No,Working parttime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,NA,NA,NA,NA,NA,NA,NA,Working fulltime
NA,0,15,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,16,Moderate,NA,NA,NA,Retired
NA,0,1,16,Moderate,Agree,NA,NA,Working parttime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,0,12,13,Moderate,Strongly agree,Yes,Yes,Temp not working
NA,0,30,12,Conservative,Agree,NA,NA,Working fulltime
Yes,NA,NA,14,Moderate,NA,No,No,Keeping house
NA,0,7,11,Moderate,Strongly agree,NA,NA,Other
No,NA,NA,18,Slightly liberal,NA,NA,NA,Working fulltime
NA,0,5,20,Liberal,Strongly disagree,NA,NA,Retired
No,NA,NA,19,Moderate,NA,No,No,Working parttime
No,0,10,16,Liberal,NA,No,No,Working fulltime
NA,0,20,16,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,18,Liberal,NA,No,No,Working fulltime
No,NA,NA,13,Liberal,NA,No,Yes,Working fulltime
NA,0,15,18,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Liberal,NA,No,No,Temp not working
No,NA,NA,11,Moderate,NA,No,No,Other
Does not apply (i do not have a job/superior/co-worker),NA,NA,9,Moderate,NA,NA,NA,Retired
No,NA,NA,10,Moderate,NA,No,No,"Unempl, laid off"
NA,NA,NA,10,Moderate,Strongly agree,NA,NA,"Unempl, laid off"
NA,0,5,12,Moderate,Disagree,NA,NA,Working fulltime
NA,20,0,18,Slightly liberal,Agree,NA,NA,Retired
No,NA,NA,14,Moderate,NA,No,No,Working fulltime
No,0,60,16,NA,NA,No,No,Keeping house
NA,0,2,13,Slghtly conservative,Agree,NA,NA,Working fulltime
NA,0,0,9,NA,Agree,NA,NA,Other
No,NA,NA,14,Moderate,NA,Yes,Yes,Working fulltime
No,NA,NA,18,Slightly liberal,NA,No,Yes,Working parttime
NA,0,1,14,Liberal,Strongly agree,Yes,Yes,Working fulltime
NA,10,0,14,Conservative,Disagree,NA,NA,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,No,No,Retired
NA,0,7,13,Moderate,Agree,No,No,Retired
NA,30,0,16,Moderate,Strongly agree,NA,NA,Retired
No,NA,NA,14,Slghtly conservative,NA,No,No,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
Yes,NA,NA,20,Liberal,NA,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,0,2,12,Slghtly conservative,Disagree,NA,NA,Retired
No,NA,NA,14,NA,NA,NA,NA,Working fulltime
NA,0,1,13,Extrmly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,NA,NA,NA,NA,Retired
No,0,3,13,Moderate,NA,No,No,Working fulltime
No,NA,NA,12,Conservative,NA,No,No,Working fulltime
NA,0,2,14,Moderate,Strongly agree,NA,NA,Keeping house
No,NA,NA,12,Slghtly conservative,NA,NA,NA,Working parttime
No,NA,NA,14,Conservative,NA,NA,NA,Other
No,0,8,13,Slghtly conservative,NA,Yes,Yes,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,10,Liberal,NA,NA,NA,"Unempl, laid off"
No,NA,NA,7,NA,NA,NA,NA,Retired
No,0,4,12,NA,NA,Yes,No,Keeping house
Yes,0,50,12,Moderate,NA,Yes,Yes,Working fulltime
Yes,NA,NA,14,Extremely liberal,NA,Yes,Yes,Working fulltime
NA,40,0,12,Slghtly conservative,Agree,NA,NA,Working fulltime
No,0,25,14,Conservative,NA,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Working parttime
NA,0,0,12,Slghtly conservative,Agree,NA,NA,Retired
Yes,NA,NA,14,Extremely liberal,NA,No,Yes,Working fulltime
Yes,0,35,17,Slghtly conservative,NA,No,No,Working fulltime
NA,10,0,14,Liberal,Disagree,NA,NA,Temp not working
No,NA,NA,16,Conservative,NA,No,No,Working parttime
No,0,45,16,Slightly liberal,NA,No,No,Working fulltime
Yes,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
NA,30,0,10,Moderate,Agree,No,No,Keeping house
NA,0,1,12,Moderate,Agree,NA,NA,Retired
No,NA,NA,16,Slghtly conservative,NA,No,No,Working parttime
No,NA,NA,16,Conservative,NA,No,No,Retired
No,NA,NA,12,Moderate,NA,Yes,No,Keeping house
NA,0,2,13,Extremely liberal,Strongly agree,No,Yes,Working parttime
No,0,1,11,Slghtly conservative,NA,NA,NA,School
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,0,12,Moderate,Agree,NA,NA,Keeping house
No,NA,NA,12,Extremely liberal,NA,NA,NA,Working fulltime
No,0,0,12,Moderate,NA,NA,NA,Retired
No,NA,NA,13,Moderate,NA,No,No,Retired
NA,0,7,14,Slghtly conservative,Agree,Yes,Yes,Working fulltime
NA,NA,NA,8,Slghtly conservative,Strongly agree,NA,NA,Other
No,0,5,18,Slightly liberal,NA,No,No,Working fulltime
NA,2,0,12,Moderate,Disagree,NA,NA,Retired
No,NA,NA,8,Slightly liberal,NA,NA,NA,Retired
Yes,0,0,12,Moderate,NA,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,8,Slghtly conservative,NA,NA,NA,Other
NA,0,1,11,Moderate,Agree,NA,NA,Working fulltime
NA,0,0,16,Extrmly conservative,Agree,NA,NA,Retired
NA,0,1,15,Moderate,Agree,NA,NA,Working fulltime
NA,0,6,14,Conservative,Strongly agree,No,No,Working parttime
NA,0,15,19,Conservative,Disagree,No,No,Retired
NA,0,1,12,Slghtly conservative,Disagree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,NA,NA,13,Conservative,Agree,NA,NA,Retired
NA,30,0,12,Liberal,Agree,NA,NA,Retired
No,NA,NA,9,Slghtly conservative,NA,No,No,Working parttime
No,NA,NA,12,NA,NA,NA,NA,Keeping house
No,NA,NA,12,Conservative,NA,NA,NA,Retired
NA,0,1,12,Conservative,Agree,NA,NA,Working parttime
No,NA,NA,16,Conservative,NA,Yes,No,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,NA,NA,Retired
NA,0,0,12,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,14,Moderate,NA,Yes,Yes,Working fulltime
No,0,7,15,Liberal,NA,No,No,Other
NA,0,0,18,Slightly liberal,Strongly agree,NA,NA,Keeping house
NA,0,0,12,Moderate,Agree,No,No,Other
NA,0,2,16,Conservative,Disagree,NA,NA,Working parttime
NA,0,10,13,Liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
NA,0,2,16,Moderate,Agree,No,No,Working fulltime
No,NA,NA,13,NA,NA,No,No,Working fulltime
NA,30,3,20,Liberal,Agree,NA,NA,Keeping house
No,NA,NA,16,Moderate,NA,No,No,School
No,NA,NA,18,Conservative,NA,Yes,Yes,Working fulltime
NA,0,5,15,Slightly liberal,Agree,Yes,Yes,Working parttime
No,NA,NA,16,Slightly liberal,NA,No,No,Working fulltime
No,0,3,16,Liberal,NA,No,No,Working parttime
NA,0,14,16,Extremely liberal,Strongly agree,NA,NA,Keeping house
No,NA,NA,14,Moderate,NA,No,No,School
NA,0,0,12,NA,Agree,NA,NA,Working fulltime
Yes,NA,NA,16,Slightly liberal,NA,Yes,No,Working fulltime
NA,30,0,13,Conservative,Agree,No,Yes,Working fulltime
No,NA,NA,18,Liberal,NA,No,No,Working fulltime
NA,0,0,8,NA,Disagree,NA,NA,Working fulltime
No,NA,NA,20,Moderate,NA,No,No,Retired
NA,0,0,10,Extremely liberal,Disagree,NA,NA,Working parttime
NA,0,1,15,Extremely liberal,Agree,NA,NA,Working parttime
NA,0,2,16,Conservative,Agree,NA,NA,Retired
No,NA,NA,10,NA,NA,NA,NA,Retired
NA,0,2,17,Slghtly conservative,Agree,No,No,Working fulltime
NA,NA,NA,12,Extrmly conservative,Strongly disagree,NA,NA,Working parttime
No,NA,NA,12,Conservative,NA,No,No,Working fulltime
NA,30,1,12,Moderate,Disagree,No,No,Working fulltime
NA,0,2,13,Conservative,Agree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,Yes,Yes,Working parttime
NA,0,35,16,Conservative,Strongly agree,NA,NA,Working fulltime
NA,0,8,16,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,14,Liberal,NA,Yes,Yes,School
NA,NA,NA,13,Moderate,Agree,NA,NA,Keeping house
NA,0,0,11,Slightly liberal,Agree,NA,NA,Retired
No,30,0,12,Moderate,NA,No,No,Working fulltime
NA,NA,NA,12,Moderate,Agree,NA,NA,Retired
No,0,1,14,Moderate,NA,No,Yes,Keeping house
No,NA,NA,11,Moderate,NA,No,No,Working fulltime
No,NA,NA,16,Liberal,NA,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),0,0,11,Conservative,NA,No,No,School
NA,0,1,14,Liberal,Agree,NA,NA,Retired
No,NA,NA,9,Extrmly conservative,NA,No,No,Working fulltime
NA,0,1,15,Slightly liberal,Agree,NA,NA,"Unempl, laid off"
Yes,NA,NA,18,Moderate,NA,No,No,Keeping house
NA,0,40,16,Conservative,Agree,NA,NA,Working fulltime
NA,0,1,13,Slightly liberal,Strongly agree,Yes,Yes,School
NA,0,0,9,Moderate,Agree,NA,NA,Other
NA,0,1,14,Extremely liberal,Agree,No,No,"Unempl, laid off"
NA,0,1,14,Conservative,Disagree,NA,NA,Working fulltime
No,0,10,12,Moderate,NA,No,No,Temp not working
No,NA,NA,13,Moderate,NA,NA,NA,Retired
NA,0,4,12,Moderate,Agree,NA,NA,"Unempl, laid off"
No,0,0,12,Moderate,NA,Yes,No,Working fulltime
No,NA,NA,16,Conservative,NA,NA,NA,Working fulltime
NA,0,2,14,NA,Strongly agree,No,No,Working fulltime
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Temp not working
No,NA,NA,14,Moderate,NA,No,No,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,No,No,"Unempl, laid off"
NA,NA,NA,6,Conservative,Disagree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
NA,0,1,12,Conservative,Agree,NA,NA,Keeping house
NA,0,0,12,Extrmly conservative,Disagree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,Yes,Yes,School
No,0,15,12,Moderate,NA,Yes,Yes,Working parttime
No,NA,NA,14,Moderate,NA,No,No,Working fulltime
NA,0,2,12,Moderate,Agree,NA,NA,Retired
NA,0,1,12,Slghtly conservative,Agree,NA,NA,Retired
NA,0,2,16,Slightly liberal,Strongly disagree,NA,NA,Retired
No,NA,NA,14,Moderate,NA,No,No,Working fulltime
No,0,0,14,Slghtly conservative,NA,NA,NA,Retired
No,NA,NA,12,NA,NA,NA,NA,Working parttime
NA,NA,NA,8,Extremely liberal,Disagree,NA,NA,Retired
No,NA,NA,15,Moderate,NA,NA,NA,Retired
NA,0,5,14,Slightly liberal,Agree,NA,NA,Working fulltime
No,0,2,8,Moderate,NA,NA,NA,Retired
NA,0,9,12,Conservative,Agree,NA,NA,Working fulltime
NA,0,25,13,Moderate,Agree,Yes,Yes,Working fulltime
No,NA,NA,17,Moderate,NA,NA,NA,Retired
No,0,2,16,Moderate,NA,No,No,Working fulltime
No,NA,NA,12,Liberal,NA,No,No,Retired
NA,30,1,13,Conservative,Disagree,No,No,Retired
NA,0,2,12,Liberal,Strongly agree,NA,NA,Temp not working
No,NA,NA,15,Conservative,NA,NA,NA,Retired
NA,0,30,6,Moderate,Agree,No,No,Working fulltime
NA,0,30,16,Conservative,Strongly agree,NA,NA,Working fulltime
NA,0,2,13,Slightly liberal,Disagree,No,No,Retired
No,0,1,12,Moderate,NA,No,No,Working fulltime
No,NA,NA,18,Conservative,NA,No,Yes,Working fulltime
NA,0,20,14,Conservative,Agree,No,Yes,"Unempl, laid off"
NA,0,2,14,Conservative,Agree,NA,NA,Keeping house
No,NA,NA,14,Moderate,NA,No,No,Working fulltime
